Word,PartsOfSpeech,Meaning
Level,n.,"A line or surface to which, at every point, a vertical or plumb line is perpendicular; a line or surface which is everywhere parallel to the surface of still water;"
Leven,n.,Lightning.
Lever,a.,More agreeable; more pleasing.
Levet,n.,A trumpet call for rousing soldiers; a reveille.
Levin,n.,Lightning.
Levir,n.,A husband's brother; -- used in reference to levirate marriages.
Levo-,,A prefix from L. laevus
Lewis,n.,Alt. of Lewisson
Leges,pl. ,of Lex
Liage,n.,Union by league; alliance.
Liane,n.,Alt. of Liana
Liana,n.,"A luxuriant woody plant, climbing high trees and having ropelike stems. The grapevine often has the habit of a liane. Lianes are abundant in the forests of the Amazon region."
Liard,a.,Gray.
Libel,n.,"A brief writing of any kind, esp. a declaration, bill, certificate, request, supplication, etc."
Liber,n.,"The inner bark of plants, lying next to the wood. It usually contains a large proportion of woody, fibrous cells, and is, therefore, the part from which the fiber of the plant is obtained, as that of hemp, etc."
Libra,n.,"The Balance; the seventh sign in the zodiac, which the sun enters at the autumnal equinox in September, marked thus / in almanacs, etc."
Lichi,n.,See Litchi.
Licit,a.,Lawful.
Lidge,n.,Same as Ledge.
Lying,p. pr. & vb. n.,of Lie
Liege,a.,"Sovereign; independent; having authority or right to allegiance; as, a liege lord."
Lieve,a.,Same as Lief.
Lives,pl. ,of Life
Lifen,v. t.,To enliven.
Ligan,n.,"Goods sunk in the sea, with a buoy attached in order that they may be found again. See Jetsam and Flotsam."
Ligge,v. i.,To lie or recline.
Light,n.,"That agent, force, or action in nature by the operation of which upon the organs of sight, objects are rendered visible or luminous."
Ma'am,n.,"Madam; my lady; -- a colloquial contraction of madam often used in direct address, and sometimes as an appellation."
Mabby,n.,A spirituous liquor or drink distilled from potatoes; -- used in the Barbadoes.
Macao,n.,A macaw.
Macaw,n.,"Any parrot of the genus Sittace, or Macrocercus."
Macco,n.,A gambling game in vogue in the eighteenth century.
Macer,n.,A mace bearer; an officer of a court.
Macho,n.,"The striped mullet of California (Mugil cephalus, / Mexicanus)."
Macle,n.,Chiastolite; -- so called from the tessellated appearance of a cross section. See Chiastolite.
Madam,n.,"A gentlewoman; -- an appellation or courteous form of address given to a lady, especially an elderly or a married lady; -- much used in the address, at the beginning of a letter, to a woman. The corresponding word in addressing a man is Sir."
Madge,n.,The barn owl.
Madia,n.,"A genus of composite plants, of which one species (Madia sativa) is cultivated for the oil yielded from its seeds by pressure. This oil is sometimes used instead of olive oil for the table."
Madid,a.,"Wet; moist; as, a madid eye."
Madly,a.,In a mad manner; without reason or understanding; wildly.
Nabit,n.,Pulverized sugar candy.
Nabob,n.,A deputy or viceroy in India; a governor of a province of the ancient Mogul empire.
Nacre,n.,"A pearly substance which lines the interior of many shells, and is most perfect in the mother-of-pearl. [Written also nacker and naker.] See Pearl, and Mother-of-pearl."
Nadde,,Had not.
Nadir,n.,"That point of the heavens, or lower hemisphere, directly opposite the zenith; the inferior pole of the horizon; the point of the celestial sphere directly under the place where we stand."
Naeve,n.,A naevus.
Naevi,pl. ,of Navus
Navus,n.,"A spot or mark on the skin of children when born; a birthmark; -- usually applied to vascular tumors, i. e., those consisting mainly of blood vessels, as dilated arteries, veins, or capillaries."
Naggy,a.,Irritable; touchy.
Nagor,n.,A West African gazelle (Gazella redunca).
Naiad,n.,"A water nymph; one of the lower female divinities, fabled to preside over some body of fresh water, as a lake, river, brook, or fountain."
Naive,a.,"Having native or unaffected simplicity; ingenuous; artless; frank; as, naive manners; a naive person; naive and unsophisticated remarks."
Naked,a.,"Having no clothes on; uncovered; nude; bare; as, a naked body; a naked limb; a naked sword."
Naker,n.,Same as Nacre.
Nakoo,n.,The gavial.
Named,imp. & p. p.,of Name
Namer,n.,"One who names, or calls by name."
Nandu,n.,Any one of three species of South American ostriches of the genera Rhea and Pterocnemia. See Rhea.
Nanny,n.,"A diminutive of Ann or Anne, the proper name."
Nappe,n.,"Sheet; surface; all that portion of a surface that is continuous in such a way that it is possible to pass from any one point of the portion to any other point of the portion without leaving the surface. Thus, some hyperboloids have one nappe, and some have two."
Nappy,a.,"Inclined to sleep; sleepy; as, to feel nappy."
Napus,n.,A kind of turnip. See Navew.
Nares,n. pl.,"The nostrils or nasal openings, -- the anterior nares being the external or proper nostrils, and the posterior nares, the openings of the nasal cavities into the mouth or pharynx."
Narre,a.,Nearer.
Narwe,a.,Narrow.
Nasal,a.,Of or pertaining to the nose.
Naso-,,"A combining form denoting pertaining to, or connected with, the nose; as, nasofrontal."
Nassa,n.,"Any species of marine gastropods, of the genera Nassa, Tritia, and other allied genera of the family Nassidae; a dog whelk. See Illust. under Gastropoda."
Nasty,superl.,"Offensively filthy; very dirty, foul, or defiled; disgusting; nauseous."
Natal,a.,Of or pertaining to one's birth; accompying or dating from one's birth; native.
Natch,n.,"The rump of beef; esp., the lower and back part of the rump."
Nates,n. pl.,The buttocks.
Natka,a.,A species of shrike.
Natty,a.,Neat; tidy; spruce.
Naval,a.,"Having to do with shipping; of or pertaining to ships or a navy; consisting of ships; as, naval forces, successes, stores, etc."
Navel,n.,A mark or depression in the middle of the abdomen; the umbilicus. See Umbilicus.
Navew,n.,"A kind of small turnip, a variety of Brassica campestris. See Brassica."
Navvy,n.,"Originally, a laborer on canals for internal navigation; hence, a laborer on other public works, as in building railroads, embankments, etc."
Nawab,n.,"A deputy ruler or viceroy in India; also, a title given by courtesy to other persons of high rank in the East."
Neddy,n.,A pet name for a donkey.
Needs,adv.,"Of necessity; necessarily; indispensably; -- often with must, and equivalent to of need."
Needy,superl.,Distressed by want of the means of living; very por; indigent; necessitous.
Neeld,n.,Alt. of Neele
Neele,n.,A needle.
Ne'er,adv.,a contraction of Never.
Neese,v. i.,To sneeze.
Negro,n.,"A black man; especially, one of a race of black or very dark persons"
Negus,n.,"A beverage made of wine, water, sugar, nutmeg, and lemon juice; -- so called, it is said, from its first maker, Colonel Negus."
Neife,n.,A woman born in the state of villeinage; a female serf.
Neigh,v. i.,To utter the cry of the horse; to whinny.
Nempt,p. p.,Called; named.
Nenia,n.,A funeral song; an elegy.
Nerre,adv. & a.,Nearer.
Nerve,n.,"One of the whitish and elastic bundles of fibers, with the accompanying tissues, which transmit nervous impulses between nerve centers and various parts of the animal body."
Nervy,superl. -,Strong; sinewy.
Netty,a.,"Like a net, or network; netted."
Neura,pl. ,of Neuron
Neven,v. t.,To name; to mention; to utter.
Never,adv.,"Not ever; not at any time; at no time, whether past, present, or future."
Nevew,n.,Nephew.
Newel,n.,A novelty; a new thing.
Newly,adv.,Lately; recently.
Newsy,a.,Full of news; abounding in information as to current events.
Nexus,n.,Connection; tie.
Ngina,n.,The gorilla.
Niche,n.,"A cavity, hollow, or recess, generally within the thickness of a wall, for a statue, bust, or other erect ornament. hence, any similar position, literal or figurative."
Nidor,n.,"Scent or savor of meat or food, cooked or cooking."
Nidus,n.,"A nest: a repository for the eggs of birds, insects, etc.; a breeding place; esp., the place or substance where parasites or the germs of a disease effect lodgment or are developed."
Niece,n.,"A relative, in general; especially, a descendant, whether male or female; a granddaughter or a grandson."
Nifle,n.,A trifle.
Night,n.,"That part of the natural day when the sun is beneath the horizon, or the time from sunset to sunrise; esp., the time between dusk and dawn, when there is no light of the sun, but only moonlight, starlight, or artificial light."
Nigua,n.,The chigoe.
Nihil,n.,Nothing.
Nomen,p. p.,of Nim
Nimbi,pl. ,of Nimbus
Ninny,n.,A fool; a simpleton.
Ninth,a.,Following the eight and preceding the tenth; coming after eight others.
Ninut,n.,The magpie.
Niobe,n.,"The daughter of Tantalus, and wife of Amphion, king of Thebes. Her pride in her children provoked Apollo and Diana, who slew them all. Niobe herself was changed by the gods into stone."
Niopo,n.,"A kind of snuff prepared by the natives of Venezuela from the roasted seeds of a leguminous tree (Piptadenia peregrina), thence called niopo tree."
Nisan,n.,"The first month of the jewish ecclesiastical year, formerly answering nearly to the month of April, now to March, of the Christian calendar. See Abib."
Nisey,n.,A simpleton.
Niste,,Wist not; knew not.
Nisus,n.,A striving; an effort; a conatus.
Niter,n.,Alt. of Nitre
Nitre,n.,A white crystalline semitransparent salt; potassium nitrate; saltpeter. See Saltpeter.
Nitid,a.,Bright; lustrous; shining.
Nitry,a.,Nitrous.
Nitty,a.,Full of nits.
Nival,a.,Abounding with snow; snowy.
Nixie,n.,See Nix.
Nizam,n.,"The title of the native sovereigns of Hyderabad, in India, since 1719."
Nobby,a.,Stylish; modish; elegant; showy; aristocratic; fashionable.
Noble,superl.,"Possessing eminence, elevation, dignity, etc.; above whatever is low, mean, degrading, or dishonorable; magnanimous; as, a noble nature or action; a noble heart."
Nobly,adv.,"Of noble extraction; as, nobly born or descended."
Nodal,a.,"Of the nature of, or relating to, a node; as, a nodal point."
Noddy,n.,A simpleton; a fool.
Noght,adv.,Not.
Noier,n.,An annoyer.
Noils,n. pl.,Waste and knots of wool removed by the comb; combings.
Noint,v. t.,To anoint.
Noise,n.,Sound of any kind.
Noisy,superl.,"Making a noise, esp. a loud sound; clamorous; vociferous; turbulent; boisterous; as, the noisy crowd."
Nolde,,Would not.
Nomad,n.,"One of a race or tribe that has no fixed location, but wanders from place to place in search of pasture or game."
Nomic,a.,"Customary; ordinary; -- applied to the usual English spelling, in distinction from strictly phonetic methods."
Nonce,n.,The one or single occasion; the present call or purpose; -- chiefly used in the phrase for the nonce.
Nonda,n.,"The edible plumlike fruit of the Australian tree, Parinarium Nonda."
Nondo,n.,A coarse umbelliferous plant (Ligusticum actaeifolium) with a large aromatic root. It is found chiefly in the Alleghany region. Also called Angelico.
Nones,n. pl.,"The fifth day of the months January, February, April, June, August, September, November, and December, and the seventh day of March, May, July, and October. "
Nonet,n.,Alt. of Nonetto
Nonne,n.,A nun.
Nonny,n.,A silly fellow; a ninny.
Nonyl,n.,"The hydrocarbon radical, C9H19, derived from nonane and forming many compounds. Used also adjectively; as, nonyl alcohol."
Noose,n.,"A running knot, or loop, which binds the closer the more it is drawn."
Nopal,n.,"A cactaceous plant (Nopalea cochinellifera), originally Mexican, on which the cochineal insect feeds, and from which it is collected. The name is sometimes given to other species of Cactaceae."
Noria,n.,"A large water wheel, turned by the action of a stream against its floats, and carrying at its circumference buckets, by which water is raised and discharged into a trough; used in Arabia, China, and elsewhere for irrigating land; a Persian wheel."
Norie,n.,The cormorant.
Norma,n.,A norm; a principle or rule; a model; a standard.
Norna,n.,"One of the three Fates, Past, Present, and Future. Their names were Urd, Verdandi, and Skuld."
Norse,a.,"Of or pertaining to ancient Scandinavia, or to the language spoken by its inhabitants."
North,n.,"That one of the four cardinal points of the compass, at any place, which lies in the direction of the true meridian, and to the left hand of a person facing the east; the direction opposite to the south."
Nosed,imp. & p. p.,of Nose
Nosel,v. t.,To nurse; to lead or teach; to foster; to nuzzle.
Nosle,n.,Nozzle.
Notal,a.,Of or pertaining to the back; dorsal.
Notch,n.,A hollow cut in anything; a nick; an indentation.
Noted,imp. & p. p.,of Note
Noter,n.,One who takes notice.
Notum,n.,The back.
Notus,n.,The south wind.
Nouch,n.,An ouch; a jewel.
Nould,,Would not.
Noule,n.,The top of the head; the head or noll.
Novel,a.,"Of recent origin or introduction; not ancient; new; hence, out of the ordinary course; unusual; strange; surprising."
Novum,n.,"A game at dice, properly called novem quinque (L., nine five), the two principal throws being nine and five."
Noway,adv.,Alt. of Noways
Nowch,n.,See Nouch.
Nowed,a.,"Knotted; tied in a knot, as a serpent."
Nowel,n.,"Christmas; also, a shout of joy at Christmas for the birth of the Savior."
Nowes,n. pl.,The marriage knot.
Noyau,n.,"A cordial of brandy, etc., flavored with the kernel of the bitter almond, or of the peach stone, etc."
Noyer,n.,An annoyer.
Noyls,n. pl.,See Noils.
Nozle,n.,Nozzle.
Nubia,n.,"A light fabric of wool, worn on the head by women; a cloud."
Nuch/,pl. ,of Nucha
Nucha,n.,The back or upper part of the neck; the nape.
Nucin,n.,See Juglone.
Nucle,n.,Same as Nutlet.
Nudge,v. t.,"To touch gently, as with the elbow, in order to call attention or convey intimation."
Nugae,n. pl.,Trifles; jests.
Oaken,a.,Made or consisting of oaks or of the wood of oaks.
Oaker,n.,See Ocher.
Oakum,n.,"The material obtained by untwisting and picking into loose fiber old hemp ropes; -- used for calking the seams of ships, stopping leaks, etc."
Oared,imp. & p. p.,of Oar
Oases,pl. ,of Oasis
Oasis,n.,"A fertile or green spot in a waste or desert, esp. in a sandy desert."
Oaten,a.,"Consisting of an oat straw or stem; as, an oaten pipe."
Oaths,pl. ,of Oath
Obeah,n.,Same as Obi.
Paage,n.,A toll for passage over another person's grounds.
Paard,n.,The zebra.
Paced,imp. & p. p.,of Pace
Pacer,n.,"One who, or that which, paces; especially, a horse that paces."
Pacha,n.,See Pasha.
Pacos,n.,Same as Alpaca.
Padar,n.,Groats; coarse flour or meal.
Paddy,a.,Low; mean; boorish; vagabond.
Padge,n.,"The barn owl; -- called also pudge, and pudge owl."
Padow,n.,"A paddock, or toad."
Paean,n.,"An ancient Greek hymn in honor of Apollo as a healing deity, and, later, a song addressed to other deities."
Paeon,n.,"A foot of four syllables, one long and three short, admitting of four combinations, according to the place of the long syllable."
Pagan,n.,"One who worships false gods; an idolater; a heathen; one who is neither a Christian, a Mohammedan, nor a Jew."
Paged,imp. & p. p.,of Page
Pagod,n.,"A pagoda. [R.] ""Or some queer pagod."""
Paien,n. & a.,Pagan.
Pains,n.,"Labor; toilsome effort; care or trouble taken; -- plural in form, but used with a singular or plural verb, commonly the former."
Paint,v. t.,"To cover with coloring matter; to apply paint to; as, to paint a house, a signboard, etc."
Paise,n.,See Poise.
Paled,imp. & p. p.,of Pale
Palea,n.,The interior chaff or husk of grasses.
Palet,n.,Same as Palea.
Palla,n.,"An oblong rectangular piece of cloth, worn by Roman ladies, and fastened with brooches."
Quack,v. i.,To utter a sound like the cry of a duck.
Quade,a.,"Evil; bad; baffling; as, a quade wind."
Raash,n.,The electric catfish.
Rabat,n.,A polishing material made of potter's clay that has failed in baking.
Rabbi,n.,Master; lord; teacher; -- a Jewish title of respect or honor for a teacher or doctor of the law.
Rabid,n.,Furious; raging; extremely violent.
Rabot,n.,A rubber of hard wood used in smoothing marble to be polished.
Raced,imp. & p. p.,of Race
Racer,n.,"One who, or that which, races, or contends in a race; esp., a race horse."
Rache,n.,"A dog that pursued his prey by scent, as distinguished from the greyhound."
Racle,a.,See Rakel.
Radde,,"imp. of Read, Rede."
Radii,n.,pl. of Radius.
Radix,n.,"A primitive word, from which spring other words; a radical; a root; an etymon."
Rafte,,imp. of Reave.
Rafty,a.,Damp; musty.
Raged,imp. & p. p.,of Rage
Raggy,a.,Ragged; rough.
Raiae,n. pl.,"The order of elasmobranch fishes which includes the sawfishes, skates, and rays; -- called also Rajae, and Rajii."
Rainy,a.,"Abounding with rain; wet; showery; as, rainy weather; a rainy day or season."
Raise,v. t.,"To cause to rise; to bring from a lower to a higher place; to lift upward; to elevate; to heave; as, to raise a stone or weight."
Rajah,a.,"A native prince or king; also, a landholder or person of importance in the agricultural districts."
Raked,imp. & p. p.,of Rake
Rakel,a.,Hasty; reckless; rash.
Raker,n.,"One who, or that which, rakes"
Rally,v. t.,"To collect, and reduce to order, as troops dispersed or thrown into confusion; to gather again; to reunite."
Ralph,n.,A name sometimes given to the raven.
Ramal,a.,"Of or pertaining to a ramus, or branch; rameal."
Ramed,a.,"Having the frames, stem, and sternpost adjusted; -- said of a ship on the stocks."
Ramee,n.,See Ramie.
Ramie,n.,"The grass-cloth plant (B/hmeria nivea); also, its fiber, which is very fine and exceedingly strong; -- called also China grass, and rhea. See Grass-cloth plant, under Grass."
Rammy,a.,Like a ram; rammish.
Rampe,n.,The cuckoopint.
Ramus,n.,A branch; a projecting part or prominent process; a ramification.
Ranal,a.,Having a general affinity to ranunculaceous plants.
Rance,n.,A prop or shore.
Ranch,v. t.,To wrench; to tear; to sprain; to injure by violent straining or contortion.
Ranee,n.,Same as Rani.
Range,n.,"To set in a row, or in rows; to place in a regular line or lines, or in ranks; to dispose in the proper order; to rank; as, to range soldiers in line."
Ranny,n.,The erd shrew.
Ranty,a.,Wild; noisy; boisterous.
Raphe,n.,"A line, ridge, furrow, or band of fibers, especially in the median line; as, the raphe of the tongue."
Rapid,a.,"Very swift or quick; moving with celerity; fast; as, a rapid stream; a rapid flight; a rapid motion."
Rased,imp. & p. p.,of Rase
Raspy,a.,"Like a rasp, or the sound made by a rasp; grating."
Rasse,n.,"A carnivore (Viverricula Mallaccensis) allied to the civet but smaller, native of China and the East Indies."
Ratan,n.,See Rattan.
Ratch,n.,Same as Rotche.
Rated,imp. & p. p.,of Rate
Ratel,n.,"Any carnivore of the genus Mellivora, allied to the weasels and the skunks; -- called also honey badger."
Rater,n.,One who rates or estimates.
Rathe,a.,"Coming before others, or before the usual time; early."
Ratio,n.,The relation which one quantity or magnitude has to another of the same kind. It is expressed by the quotient of the division of the first by the second; 
Raton,n.,A small rat.
Raved,imp. & p. p.,of Rave
Ravel,v. t.,"To separate or undo the texture of; to take apart; to untwist; to unweave or unknit; -- often followed by out; as, to ravel a twist; to ravel out a stocking."
Raven,n.,"A large black passerine bird (Corvus corax), similar to the crow, but larger. It is native of the northern parts of Europe, Asia, and America, and is noted for its sagacity."
Raver,n.,One who raves.
Ravin,a.,Ravenous.
Rawly,adv.,In a raw manner; unskillfully; without experience.
Rayed,imp. & p. p.,of Ray
Rayah,n.,"A person not a Mohammedan, who pays the capitation tax."
Rayon,n.,Ray; beam.
Razed,imp. & p. p.,of Raze
Razee,v. t.,"An armed ship having her upper deck cut away, and thus reduced to the next inferior rate, as a seventy-four cut down to a frigate."
Razor,v. t.,"A keen-edged knife of peculiar shape, used in shaving the hair from the face or the head."
Reach,v. i.,To retch.
React,v. t.,"To act or perform a second time; to do over again; as, to react a play; the same scenes were reacted at Rome."
Ready,superl.,Prepared for what one is about to do or experience; 
Realm,n.,A royal jurisdiction or domain; a region which is under the dominion of a king; a kingdom.
Reame,n.,Realm.
Reata,n.,A lariat.
Reave,v. i.,To take away by violence or by stealth; to snatch away; to rob; to despoil; to bereave. [Archaic]
Rebec,n.,"An instrument formerly used which somewhat resembled the violin, having three strings, and being played with a bow."
Rebel,v. i.,"Pertaining to rebels or rebellion; acting in revolt; rebellious; as, rebel troops."
Rebus,n.,A mode of expressing words and phrases by pictures of objects whose names resemble those words
Rebut,v. t.,To drive or beat back; to repulse.
Recto,n.,A writ of right.
Recti,pl. ,of Rectus
Recur,v. i.,To come back; to return again or repeatedly; to come again to mind.
Redan,n.,A work having two parapets whose faces unite so as to form a salient angle toward the enemy.
Redde,,"obs. imp. of Read, or Rede."
Redia,n.,"A kind of larva, or nurse, which is prroduced within the sporocyst of certain trematodes by asexual generation."
Redly,adv.,In a red manner; with redness.
Redub,v. t.,"To refit; to repair, or make reparation for; hence, to repay or requite."
Reedy,a.,Abounding with reeds; covered with reeds.
Reefy,a.,Full of reefs or rocks.
Reeky,a.,Soiled with smoke or steam; smoky; foul.
Reeve,n.,The female of the ruff.
Refar,v. t.,To go over again; to repeat.
Refel,v. t.,"To refute; to disprove; as, to refel the tricks of a sophister."
Refer,v. t.,To carry or send back.
Refit,v. t.,"To fit or prepare for use again; to repair; to restore after damage or decay; as, to refit a garment; to refit ships of war."
Refix,v. t.,To fix again or anew; to establish anew.
Refut,n.,Refuge.
Regal,a.,"Of or pertaining to a king; kingly; royal; as, regal authority, pomp, or sway."
Regel,n.,See Rigel.
Reget,v. t.,To get again.
Regle,v. t.,To rule; to govern.
Regma,n.,"A kind of dry fruit, consisting of three or more cells, each which at length breaks open at the inner angle."
Regne,n. & v.,See Reign.
Reign,n.,Royal authority; supreme power; sovereignty; rule; dominion.
Reins,n. pl.,"The kidneys; also, the region of the kidneys; the loins."
Rekne,v. t.,To reckon.
Relax,n.,"To make lax or loose; to make less close, firm, rigid, tense, or the like; to slacken; to loosen; to open; as, to relax a rope or cord; to relax the muscles or sinews."
Relay,v. t.,"To lay again; to lay a second time; as, to relay a pavement."
Relic,n.,That which remains; that which is left after loss or decay; a remaining portion; a remnant.
Relik,n.,Relic.
Remit,v. t.,To send back; to give up; to surrender; to resign.
Remix,v. t.,To mix again or repeatedly.
Remue,v. t.,To remove.
Renal,a.,Of or pertaining to the kidneys; in the region of the kidneys.
Renay,v. t.,To deny; to disown.
Renew,v. t.,"To make new again; to restore to freshness, perfection, or vigor; to give new life to; to rejuvenate; to re/stablish; to recreate; to rebuild."
Renne,v. t.,"To plunder; -- only in the phrase ""to rape and renne."" See under Rap, v. t., to snatch."
Rente,n.,"In France, interest payable by government on indebtedness; the bonds, shares, stocks, etc., which represent government indebtedness."
Repay,v. t.,"To pay back; to refund; as, to repay money borrowed or advanced."
Repel,v. t.,"To drive back; to force to return; to check the advance of; to repulse as, to repel an enemy or an assailant."
Reply,v. i.,To make a return in words or writing; to respond; to answer.
Resaw,v. t.,"To saw again; specifically, to saw a balk, or a timber, which has already been squared, into dimension lumber, as joists, boards, etc."
Reset,v. t.,"To set again; as, to reset type; to reset copy; to reset a diamond."
Resin,n.,"Any one of a class of yellowish brown solid inflammable substances, of vegetable origin, "
Resow,v. t.,To sow again.
Resty,a.,"Disposed to rest; indisposed toexercton; sluggish; also, restive."
Retch,v. i.,"To make an effort to vomit; to strain, as in vomiting."
Retex,v. t.,"To annual, as orders."
Retry,v. t.,"To try (esp. judicially) a second time; as, to retry a case; to retry an accused person."
Rette,v. t.,See Aret.
Reule,n.& v.,Rule.
Reume,n.,Realm.
Revel,n.,See Reveal.
Revet,v. t.,"To face, as an embankment, with masonry, wood, or other material."
Revie,v. t.,"To vie with, or rival, in return."
Rewet,n.,A gunlock.
Rewin,v. t.,"To win again, or win back."
Rewle,n. & v.,Rule.
Rewme,n.,Realm.
Rewth,n.,Ruth.
Reges,pl. ,of Rex
Reyse,v. t.,To raise.
Rheae,n. pl.,A suborder of struthious birds including the rheas.
Rheic,a.,"Pertaining to, or designating, an acid (commonly called chrysophanic acid) found in rhubarb (Rheum)."
Rhein,n.,Chrysophanic acid.
Rheum,n.,A genus of plants. See Rhubarb.
Rhime,n.,See Rhyme.
Rhine,n.,A water course; a ditch.
Rhino,n.,"Gold and silver, or money."
Rhomb,n.,"An equilateral parallelogram, or quadrilateral figure whose sides are equal and the opposite sides parallel. The angles may be unequal, two being obtuse and two acute, as in the cut, or the angles may be equal, in which case it is usually called a square."
Rhumb,n.,"A line which crosses successive meridians at a constant angle; -- called also rhumb line, and loxodromic curve. See Loxodromic."
Rhyme,n.,"An expression of thought in numbers, measure, or verse; a composition in verse; a rhymed tale; poetry; harmony of language."
Riant,a.,"Laughing; laughable; exciting gayety; gay; merry; delightful to the view, as a landscape."
Riban,n.,See Ribbon.
Ribes,n.,A genus of shrubs including gooseberries and currants of many kinds.
Riden,,imp. pl. &amp; p. p. of Ride.
Rider,n.,"One who, or that which, rides."
Ridge,n.,"The back, or top of the back; a crest."
Ridgy,a.,Having a ridge or ridges; rising in a ridge.
Rifle,v. t.,To seize and bear away by force; to snatch away; to carry off.
Rigel,n.,A fixed star of the first magnitude in the left foot of the constellation Orion.
Right,a.,"Straight; direct; not crooked; as, a right line."
Rigid,a.,Firm; stiff; unyielding; not pliant; not flexible.
Rigol,n.,"A circle; hence, a diadem."
Rigor,n.,Rigidity; stiffness.
Riled,imp. & p. p.,of Rile
Rille,n.,"One of certain narrow, crooked valleys seen, by aid of the telescope, on the surface of the moon."
Rimae,pl. ,of Rima
Rimed,imp. & p. p.,of Rime
Rimer,n.,A rhymer; a versifier.
Rimey,v. t.,To compose in rhyme; to versify.
Rindy,a.,Having a rind or skin.
Rined,a.,Having a rind
Rinse,v. t.,To wash lightly; to cleanse with a second or repeated application of water after washing.
Ripen,v. i.,"To grow ripe; to become mature, as grain, fruit, flowers, and the like; as, grapes ripen in the sun."
Risen,p. p.,of Rise
Riser,n.,"One who rises; as, an early riser."
Risky,a.,Attended with risk or danger; hazardous.
Risse,,imp. of Rise.
Rival,n.,A person having a common right or privilege with another; a partner.
Rived,imp.,of Rive
Riven,,of Rive
Rivel,v. t.,"To contract into wrinkles; to shrivel; to shrink; as, riveled fruit; riveled flowers."
River,n.,One who rives or splits.
Rivet,n.,"A metallic pin with a head, used for uniting two plates or pieces of material together, by passing it through them and then beating or pressing down the point so that it shall spread out and form a second head; a pin or bolt headed or clinched at both ends."
Roach,n.,A cockroach.
Roast,v. t.,"To cook by exposure to radiant heat before a fire; as, to roast meat on a spit, or in an oven open toward the fire and having reflecting surfaces within; also, to cook in a close oven."
Robed,imp. & p. p.,of Robe
Robin,n.,"A small European singing bird (Erythacus rubecula), having a reddish breast; -- called also robin redbreast, robinet, and ruddock."
Roche,n.,Rock.
Rocky,a.,"Full of, or abounding in, rocks; consisting of rocks; as, a rocky mountain; a rocky shore."
Rocoa,n.,"The orange-colored pulp covering the seeds of the tropical plant Bixa Orellana, from which annotto is prepared. See Annoto."
Roddy,a.,Full of rods or twigs.
Rodeo,n.,A round-up. See Round-up.
Rodge,n.,The gadwall.
Rogue,n.,"A vagrant; an idle, sturdy beggar; a vagabond; a tramp."
Roguy,a.,Roguish.
Rohob,n.,An inspissated juice. See Rob.
Roial,a.,Royal.
Roily,a.,"Turbid; as, roily water."
Roint,interj.,See Aroint.
Roist,v. i.,See Roister.
Rokee,n.,"Parched Indian corn, pounded up and mixed with sugar; -- called also yokeage."
Roman,a.,"Of or pertaining to Rome, or the Roman people; like or characteristic of Rome, the Roman people, or things done by Romans; as, Roman fortitude; a Roman aqueduct; Roman art."
Romic,n.,"A method of notation for all spoken sounds, proposed by Mr. Sweet; -- so called because it is based on the common Roman-letter alphabet. It is like the palaeotype of Mr. Ellis in the general plan, but simpler."
Rompu,a.,"Broken, as an ordinary; cut off, or broken at the top, as a chevron, a bend, or the like."
Ronco,n.,"See Croaker, n., 2. (a)."
Ronde,n.,"A kind of script in which the heavy strokes are nearly upright, giving the characters when taken together a round look."
Rondo,n.,"A composition, vocal or instrumental, commonly of a lively, cheerful character, in which the first strain recurs after each of the other strains."
Ronne,,obs. imp. pl.
Roody,a.,Rank in growth.
Roofy,a.,Having roofs.
Rooky,a.,Misty; gloomy.
Roomy,a.,"Having ample room; spacious; large; as, a roomy mansion; a roomy deck."
Roost,n.,Roast.
Rooty,a.,"Full of roots; as, rooty ground."
Roped,imp. & p. p.,of Rope
Roper,n.,A maker of ropes.
Roral,a.,Of or pertaining to dew; consisting of dew; dewy.
Roric,a.,Of or pertaining to dew; resembling dew; dewy.
Rorid,a.,Dewy; bedewed.
Rosen,a.,Consisting of roses; rosy.
Roser,n.,A rosier; a rosebush.
Roset,n.,A red color used by painters.
Rosin,n.,"The hard, amber-colored resin left after distilling off the volatile oil of turpentine; colophony."
Rotal,a.,Relating to wheels or to rotary motion; rotary.
Roted,imp. & p. p.,of Rote
Rotta,n.,See Rota.
Rouet,n.,A small wheel formerly fixed to the pan of firelocks for discharging them.
Rouge,a.,red.
Rough,n.,"Having inequalities, small ridges, or points, on the surface; not smooth or plain; as, a rough board; a rough stone; rough cloth."
Round,v. i. & t.,To whisper.
Rouse,v. i. & t.,"To pull or haul strongly and all together, as upon a rope, without the assistance of mechanical appliances."
Roust,v. t.,"To rouse; to disturb; as, to roust one out."
Route,n.,"The course or way which is traveled or passed, or is to be passed; a passing; a course; a road or path; a march."
Roved,imp. & p. p.,of Rove
Rover,v. i.,One who practices robbery on the seas; a pirate.
Rowed,imp. & p. p.,of Row
Rowan,n.,Rowan tree.
Rowdy,n.,"One who engages in rows, or noisy quarrels; a ruffianly fellow."
Rowel,n.,"The little wheel of a spur, with sharp points."
Rowen,n.,"A stubble field left unplowed till late in the autumn, that it may be cropped by cattle."
Rower,n.,One who rows with an oar.
Royal,a.,"Kingly; pertaining to the crown or the sovereign; suitable for a king or queen; regal; as, royal power or prerogative; royal domains; the royal family; royal state."
